week,avg_price,inflation,policy_rate,price_0,quantity_0,price_1,quantity_1,price_2,quantity_2,price_3,quantity_3
0,0.9482054239830294,0.02,0.02,1.2682417945625455,916.0,1.2433743083946525,2464.0,1.1812055929749194,593.0,0.1,1786.0
1,1.4004262636969549,0.02,0.02,2.0398873437157055,337.0,1.741024206173928,757.0,1.7207935048981868,196.0,0.1,48985.0
2,2.9208152216864516,0.02,0.02,5.712354023746111,260.0,2.6915880290736074,497.0,3.179318833926087,151.0,0.1,44009.0
3,9.033211628182961,0.900873006593632,1.341309509890448,5.712354023746111,0.0,6.826791843118735,374.0,23.493700645866998,101.0,0.1,31382.0
4,9.039295985892828,0.900873006593632,1.341309509890448,5.712354023746111,0.0,6.826791843118735,0.0,23.493700645866998,0.0,0.12433743083946525,15112.0
5,9.048422559419842,0.900873006593632,1.341309509890448,5.712354023746111,0.0,6.826791843118735,0.0,23.493700645866998,0.0,0.1608437249475226,17319.0
6,7.351513667403277,0.900873006593632,1.341309509890448,5.712354023746111,0.0,0.1,112.0,23.493700645866998,0.0,0.1,5691.0
7,7.3612682958343925,-0.046131584119649946,-0.07919737617947492,5.712354023746111,0.0,0.11950925686223111,14422.0,23.493700645866998,0.0,0.11950925686223111,9312.0
8,7.375082631615931,-0.046131584119649946,-0.07919737617947492,5.712354023746111,0.0,0.14568111725277988,20726.0,23.493700645866998,0.0,0.14859473959783548,13965.0
9,7.391193824263296,-0.046131584119649946,-0.07919737617947492,5.712354023746111,0.0,0.17758446902974065,13593.0,23.493700645866998,0.0,0.18113615841033545,8367.0
10,7.411937298031702,-0.046131584119649946,-0.07919737617947492,5.712354023746111,0.0,0.21647447682498566,12293.0,23.493700645866998,0.0,0.2252200456887151,8201.0
11,7.43611945697489,0.0025325691602540003,-0.006201146259619001,5.712354023746111,0.0,0.2638811793209419,9965.0,23.493700645866998,0.0,0.27454197896550797,6148.0
12,7.469574360930795,0.0025325691602540003,-0.006201146259619001,5.712354023746111,0.0,0.32810307883654144,8558.0,23.493700645866998,0.0,0.34413969527352956,5603.0
13,7.507387247335273,0.0025325691602540003,-0.006201146259619001,5.712354023746111,0.0,0.39211355125965097,5650.0,23.493700645866998,0.0,0.4313807684683329,3781.0
14,7.5685450758165524,0.0025325691602540003,-0.006201146259619001,5.712354023746111,0.0,0.48754391560963967,4668.0,23.493700645866998,0.0,0.5805817180434614,3063.0
15,5.965274896338617,-0.04853143960810062,-0.08279715941215093,0.1,156.0,0.12205373776276753,0.0,23.493700645866998,0.0,0.14534520172470095,0.0
16,5.985546023128066,-0.04853143960810062,-0.08279715941215093,0.12189944199947574,7977.0,0.1458655149728598,14807.0,23.493700645866998,0.0,0.18071848967293128,7928.0
17,6.012324843984961,-0.04853143960810062,-0.08279715941215093,0.14859473959783548,7525.0,0.1778092488215778,16033.0,23.493700645866998,0.0,0.22919474165343123,7870.0
18,6.048102023381265,-0.04853143960810062,-0.08279715941215093,0.18113615841033545,6838.0,0.22108345177970198,14614.0,23.493700645866998,0.0,0.2964878374680236,6336.0
19,6.082901916665717,0.004894148996499024,-0.0026587765052514638,0.21647447682498566,4571.0,0.26421519026729096,9770.0,23.493700645866998,0.0,0.3572173537035938,3931.0
20,6.145440176253725,0.004894148996499024,-0.0026587765052514638,0.2691588029073608,4118.0,0.32851837946595447,8487.0,23.493700645866998,0.0,0.4903828767745908,3649.0
21,6.207219155419251,0.004894148996499024,-0.0026587765052514638,0.34135844322153774,4197.0,0.41664073912068145,7934.0,23.493700645866998,0.0,0.5771767934677872,2600.0
22,6.269387629553203,0.004894148996499024,-0.0026587765052514638,0.39211355125965097,1711.0,0.48816103049846415,3812.0,23.493700645866998,0.0,0.7035752905876991,1678.0
23,6.350019182285877,0.010802617797535417,0.006203926696303125,0.48754391560963967,2026.0,0.6069668836812488,3683.0,23.493700645866998,0.0,0.811865283985621,1587.0
24,6.241677811385863,0.010802617797535417,0.006203926696303125,0.6183235704608198,1880.0,0.7546870292156302,3392.0,23.493700645866998,0.0,0.1,1648.0
25,6.3544453717520915,0.010802617797535417,0.006203926696303125,0.8158648199242614,554.0,0.9762681449108173,1043.0,23.493700645866998,0.0,0.13194787630628724,30889.0
26,6.518221224850805,0.010802617797535417,0.006203926696303125,1.1652558675863185,531.0,1.313928385949903,934.0,23.493700645866998,0.0,0.1,23377.0
27,6.854892989966888,0.01960739500883957,0.019411092513259356,1.911725761447315,292.0,1.9141455525532358,526.0,23.493700645866998,0.0,0.1,32611.0
28,8.6026240286948,0.01960739500883957,0.019411092513259356,7.063776162219536,241.0,3.7530193066926683,409.0,23.493700645866998,0.0,0.1,24739.0
29,7.689369202021634,0.01960739500883957,0.019411092513259356,7.063776162219536,0.0,0.1,316.0,23.493700645866998,0.0,0.1,0.0
30,7.702184228282847,0.01960739500883957,0.019411092513259356,7.063776162219536,0.0,0.12189944199947574,19518.0,23.493700645866998,0.0,0.12936066304537963,12637.0
31,7.714497839815825,0.038016593501397966,0.047024890252096954,7.063776162219536,0.0,0.14282462475762733,13555.0,23.493700645866998,0.0,0.15768992641913981,8883.0
32,7.728318169683012,0.038016593501397966,0.047024890252096954,7.063776162219536,0.0,0.16734181143540253,12617.0,23.493700645866998,0.0,0.18845405921011302,7298.0
33,7.748265422990433,0.038016593501397966,0.047024890252096954,7.063776162219536,0.0,0.20398873437157056,12075.0,23.493700645866998,0.0,0.2315961495036278,7133.0
34,7.765231673901398,0.038016593501397966,0.047024890252096954,7.063776162219536,0.0,0.24866112894073725,8425.0,23.493700645866998,0.0,0.2547887585783175,4311.0
35,7.802391947609832,0.0028369218905513302,-0.0057446171641730055,7.063776162219536,0.0,0.30917885922132265,6916.0,23.493700645866998,0.0,0.3429121231314681,4851.0
36,7.762397589836547,0.0028369218905513302,-0.0057446171641730055,7.063776162219536,0.0,0.39211355125965097,7555.0,23.493700645866998,0.0,0.1,4298.0
37,7.7876065575231275,0.0028369218905513302,-0.0057446171641730055,7.063776162219536,0.0,0.4686119911665126,1907.0,23.493700645866998,0.0,0.12433743083946525,19934.0
38,7.825398887703816,0.0028369218905513302,-0.0057446171641730055,7.063776162219536,0.0,0.5943133126305457,2004.0,23.493700645866998,0.0,0.1498054300981828,16645.0
39,7.879455478971658,0.0024705961989062377,-0.006294105701640646,7.063776162219536,0.0,0.768807641785834,1929.0,23.493700645866998,0.0,0.19153746601426422,17148.0
40,7.939031737283294,0.0024705961989062377,-0.006294105701640646,7.063776162219536,0.0,0.975033983291865,1310.0,23.493700645866998,0.0,0.22361615775477472,11497.0
41,7.986003360576188,0.0024705961989062377,-0.006294105701640646,7.063776162219536,0.0,1.2865366342182156,1100.0,23.493700645866998,0.0,0.1,9681.0
42,8.156736585406257,0.0024705961989062377,-0.006294105701640646,7.063776162219536,0.0,1.9499602766762614,477.0,23.493700645866998,0.0,0.11950925686223111,23339.0
43,8.60143792208883,0.02234401965635977,0.023516029484539652,7.063776162219536,0.0,3.748274880268789,407.0,23.493700645866998,0.0,0.1,19477.0
44,7.689369202021634,0.02234401965635977,0.023516029484539652,7.063776162219536,0.0,0.1,305.0,23.493700645866998,0.0,0.1,0.0
45,7.702793725492844,0.02234401965635977,0.023516029484539652,7.063776162219536,0.0,0.12433743083946525,20855.0,23.493700645866998,0.0,0.12936066304537963,14072.0
46,7.718276010480699,0.02234401965635977,0.023516029484539652,7.063776162219536,0.0,0.1515666343897922,16489.0,23.493700645866998,0.0,0.16406059944647305,11150.0
47,7.736556106009162,-0.024978135988562522,-0.04746720398284378,7.063776162219536,0.0,0.18475888157854217,14973.0,23.493700645866998,0.0,0.20398873437157056,9106.0
48,7.761477073309742,-0.024978135988562522,-0.04746720398284378,7.063776162219536,0.0,0.2297244466024894,12698.0,23.493700645866998,0.0,0.25870703854994304,7264.0
49,7.797823973772053,-0.024978135988562522,-0.04746720398284378,7.063776162219536,0.0,0.2856334749157145,10008.0,23.493700645866998,0.0,0.3481856120859685,6172.0
50,7.857502909002624,-0.024978135988562522,-0.04746720398284378,7.063776162219536,0.0,0.35514932432768787,7693.0,23.493700645866998,0.0,0.5173855035962746,4327.0
51,7.918270259254692,0.005822784166072377,-0.001265823750891435,7.063776162219536,0.0,0.4329250446203599,5588.0,23.493700645866998,0.0,0.6826791843118738,2098.0
