forecast_horizon,context_window,dropout_rate,rmse,mae,forecast,actual
4,24,0.2,0.366879004027287,0.3339227740738345,"[np.float32(3.0363736), np.float32(2.9917707), np.float32(2.935128), np.float32(2.8710506)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,24,0.3,0.317512952397565,0.2862252895805789,"[np.float32(3.0380526), np.float32(2.9605064), np.float32(2.8708093), np.float32(2.7741647)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,1,0.0,0.3797451873408209,0.3200910885368794,"[np.float32(3.0362327), np.float32(3.027953), np.float32(3.0239282), np.float32(3.0219731), np.float32(3.021023), np.float32(3.0205617), np.float32(3.0203364), np.float32(3.020228), np.float32(3.0201755), np.float32(3.0201492), np.float32(3.0201378), np.float32(3.020131), np.float32(3.020128), np.float32(3.020126), np.float32(3.0201244), np.float32(3.020124)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,1,0.1,0.3803643100077765,0.3208762307201832,"[np.float32(3.0349407), np.float32(3.026046), np.float32(3.0217292), np.float32(3.0196333), np.float32(3.018616), np.float32(3.0181222), np.float32(3.017884), np.float32(3.0177689), np.float32(3.017712), np.float32(3.0176845), np.float32(3.017671), np.float32(3.0176654), np.float32(3.0176613), np.float32(3.01766), np.float32(3.0176597), np.float32(3.0176592)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,1,0.2,0.4373475851133152,0.3857052625538693,"[np.float32(2.9591866), np.float32(2.9143832), np.float32(2.893077), np.float32(2.8829536), np.float32(2.8781438), np.float32(2.8758593), np.float32(2.874775), np.float32(2.8742597), np.float32(2.8740149), np.float32(2.8738995), np.float32(2.8738434), np.float32(2.8738172), np.float32(2.8738053), np.float32(2.8737993), np.float32(2.8737967), np.float32(2.8737955)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,1,0.3,0.4577982985510595,0.4071150870444164,"[np.float32(2.940469), np.float32(2.8860657), np.float32(2.8598719), np.float32(2.847271), np.float32(2.8412118), np.float32(2.8382993), np.float32(2.8368993), np.float32(2.836226), np.float32(2.8359025), np.float32(2.835747), np.float32(2.8356714), np.float32(2.8356369), np.float32(2.835619), np.float32(2.835611), np.float32(2.8356056), np.float32(2.8356044)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,2,0.0,0.4947885888301458,0.3985793308720559,"[np.float32(3.6508164), np.float32(3.3330727), np.float32(3.5136166), np.float32(3.4195132), np.float32(3.4744103), np.float32(3.4467878), np.float32(3.4636512), np.float32(3.4556687), np.float32(3.4609365), np.float32(3.458699), np.float32(3.4603872), np.float32(3.4597952), np.float32(3.460357), np.float32(3.460221), np.float32(3.460418), np.float32(3.4603975)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,2,0.1,0.8872046355941857,0.7898659817801109,"[np.float32(3.8723385), np.float32(3.5446963), np.float32(3.8549244), np.float32(3.7655125), np.float32(3.8902955), np.float32(3.8737094), np.float32(3.9278219), np.float32(3.930824), np.float32(3.9563227), np.float32(3.9627206), np.float32(3.975725), np.float32(3.9812334), np.float32(3.9883118), np.float32(3.992244), np.float32(3.9962802), np.float32(3.9988885)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,2,0.2,0.3808234896411219,0.2929831748674281,"[np.float32(3.5679843), np.float32(3.224166), np.float32(3.3724136), np.float32(3.2589216), np.float32(3.2990348), np.float32(3.2600696), np.float32(3.2694612), np.float32(3.2553198), np.float32(3.2566333), np.float32(3.251134), np.float32(3.2506974), np.float32(3.248391), np.float32(3.2478077), np.float32(3.2467697), np.float32(3.2463496), np.float32(3.2458558)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
16,2,0.3,0.5408780633037111,0.4461180033136225,"[np.float32(3.6928399), np.float32(3.3602371), np.float32(3.5679114), np.float32(3.4657934), np.float32(3.5343637), np.float32(3.503858), np.float32(3.5270772), np.float32(3.5184448), np.float32(3.5266097), np.float32(3.5244477), np.float32(3.5274737), np.float32(3.527104), np.float32(3.5283027), np.float32(3.5283587), np.float32(3.5288706), np.float32(3.5289826)]","[3.271780511700916, 3.718721312697109, 3.6940551594278217, 3.2457874929078154, 3.13948193190645, 3.323159712461349, 3.1059809026621767, 3.1657429794798695, 3.475131237075133, 3.3577311967053025, 3.2502101428971746, 2.9756285299816096, 2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
